### Aged cheese  (36)
    appenzeller                      Appenzeller
    pimento                          Pimento (jarred)
    pickle-sweet-gherkin             Sweet gherkin

### Plant milks  (10)
    almond-milk                      Almond milk
    cashew-milk                      Cashew milk
    coconut-milk-beverage            Coconut milk (beverage)
    coconut-milk-canned              Coconut milk (canned)
    coconut-water                    Coconut water
    hemp-milk                        Hemp milk
    horchata-rice                    Horchata (rice)
    oat-milk                         Oat milk
    rice-milk                        Rice milk
    soy-milk                         Soy milk

### Poultry  (18)
    chicken-whole-roasted            Chicken (whole, roasted)
    chicken-breast                   Chicken breast
    chicken-drumstick                Chicken drumstick
    chicken-thigh-skin-on            Chicken thigh (skin on)
    chicken-thigh-skinless           Chicken thigh (skinless)
    chicken-wing                     Chicken wing
    cornish-hen                      Cornish hen
    duck-breast                      Duck breast
    duck-leg-confit                  Duck leg confit
    goose                            Goose
    ground-chicken                   Ground chicken
    ground-turkey                    Ground turkey
    ostrich                          Ostrich
    pheasant                         Pheasant
    quail                            Quail
    squab                            Squab
    turkey-breast                    Turkey breast
    turkey-thigh                     Turkey thigh

### Prepared mixes  (32)
    apple-pie-filling                Apple pie filling (canned)
    baking-mix                       Baking mix (Bisquick-style)
    blueberry-pie-filling            Blueberry pie filling (canned)
    bran-cereal                      Bran cereal
    brownie-mix                      Brownie mix
    cake-mix-angel-food              Cake mix (angel food)
    cake-mix-carrot                  Cake mix (carrot)
    cake-mix-chocolate               Cake mix (chocolate)
    cake-mix-devils-food             Cake mix (devil's food)
    cake-mix-white                   Cake mix (white)
    cake-mix-yellow                  Cake mix (yellow)
    cherry-pie-filling               Cherry pie filling (canned)
    cookie-mix                       Cookie mix (chocolate-chip)
    corn-flakes                      Corn flakes
    frosting-chocolate-canned        Frosting (chocolate, canned)
    frosting-vanilla-canned          Frosting (vanilla, canned)
    fruit-cocktail-canned            Fruit cocktail (canned)
    gelatin-unflavored               Gelatin (unflavored)
    gelatin-cherry                   Gelatin dessert (cherry)
    gelatin-lime                     Gelatin dessert (lime)
    granola-cereal                   Granola cereal
    mincemeat                        Mincemeat (filling)
    pudding-mix-butterscotch         Pudding mix (butterscotch, instant)
    pudding-mix-chocolate            Pudding mix (chocolate, instant)
    pudding-mix-lemon                Pudding mix (lemon, cook & serve)
    pudding-mix-pistachio            Pudding mix (pistachio, instant)
    pudding-mix-vanilla              Pudding mix (vanilla, instant)
    rice-cereal                      Rice cereal (crispy)
    rice-pudding                     Rice pudding (prepared)
    stuffing-mix                     Stuffing mix (dry)
    whipped-cream-aerosol            Whipped cream (aerosol)
    whipped-topping-frozen           Whipped topping (frozen)

### Prepared soups & broths  (18)
    beef-broth                       Beef broth (canned)
    bone-broth-chicken               Bone broth (chicken)
    bouillon-cube-beef               Bouillon cube (beef)
    bouillon-cube-chicken            Bouillon cube (chicken)
    bouillon-cube-vegetable          Bouillon cube (vegetable)
    butternut-squash-soup            Butternut squash soup
    chicken-broth                    Chicken broth (canned)
    chicken-noodle-soup              Chicken noodle soup (canned)
    cream-of-celery-soup             Cream of celery soup (condensed)
    cream-of-chicken-soup            Cream of chicken soup (condensed)
    cream-of-mushroom-soup           Cream of mushroom soup (condensed)
    french-onion-soup                French onion soup
    lentil-soup                      Lentil soup
    minestrone                       Minestrone
    miso-broth                       Miso broth
    mushroom-broth                   Mushroom broth
    tomato-soup                      Tomato soup (canned)
    vegetable-broth                  Vegetable broth (canned)

### Processed cheese  (14)
    american-cheese                  American cheese (slices)
    cheez-whiz                       Cheese sauce (Cheez Whiz-style)
    cheese-spread                    Cheese spread (cold pack)
    colby                            Colby cheese
    colby-jack                       Colby-Jack
    monterey-jack                    Monterey Jack
    nacho-cheese                     Nacho cheese sauce (canned)
    pepper-jack                      Pepper Jack
    shredded-italian-blend           Shredded Italian-blend cheese
    shredded-mexican-blend           Shredded Mexican-blend cheese
    shredded-cheddar                 Shredded cheddar
    shredded-mozzarella              Shredded mozzarella
    string-cheese                    String cheese
    velveeta                         Velveeta-style processed cheese

### Processed meat  (36)
    nduja                            'Nduja
    andouille                        Andouille
    bacon                            Bacon
    beef-jerky                       Beef jerky
    blood-sausage                    Blood sausage
    boudin                           Boudin (Cajun sausage)
    bratwurst                        Bratwurst
    liverwurst-braunschweiger        Braunschweiger
    breakfast-sausage                Breakfast sausage
    bresaola                         Bresaola
    capicola                         Capicola
    chorizo-mexican                  Chorizo (Mexican)
    chorizo-spanish                  Chorizo (Spanish)
    corned-beef                      Corned beef
    deli-turkey                      Deli turkey
    guanciale                        Guanciale
    haggis                           Haggis
    ham                              Ham
    head-cheese                      Head cheese
    hot-dog                          Hot dog (beef)
    italian-sausage                  Italian sausage
    lardons                          Lardons
    liverwurst                       Liverwurst
    merguez                          Merguez
    mortadella                       Mortadella
    pancetta                         Pancetta
    pastrami                         Pastrami
    pepperoni                        Pepperoni
    prosciutto                       Prosciutto
    salami                           Salami
    sausage                          Sausage (pork)
    smoked-turkey-deli               Smoked turkey (deli)
    soppressata                      Soppressata
    spam                             Spam
    sucuk                            Sucuk (Bosnian/Turkish sausage)
    summer-sausage                   Summer sausage

### Red meat  (39)
    alligator                        Alligator
    beef-brisket                     Beef brisket
    beef-cheek                       Beef cheek
    beef-chuck-roast                 Beef chuck roast
    beef-flank-steak                 Beef flank steak
    beef-ribeye                      Beef ribeye
    beef-shank                       Beef shank
    beef-short-ribs                  Beef short ribs
    beef-sirloin                     Beef sirloin
    beef-skirt-steak                 Beef skirt steak
    beef-tenderloin                  Beef tenderloin
    bison                            Bison
    camel                            Camel
    elk                              Elk
    frog-legs                        Frog legs
    goat                             Goat
    ground-beef-80-20                Ground beef (80/20)
    ground-beef-90-10                Ground beef (90/10)
    ground-lamb                      Ground lamb
    ground-pork                      Ground pork
    lamb-breast                      Lamb breast
    lamb-chop                        Lamb chop
    lamb-leg                         Lamb leg
    lamb-shank                       Lamb shank
    lamb-shoulder                    Lamb shoulder
    oxtail                           Oxtail
    pork-belly                       Pork belly
    pork-chop                        Pork chop
    pork-loin                        Pork loin
    pork-shoulder                    Pork shoulder
    pork-ribs-spare                  Pork spare ribs
    pork-tenderloin                  Pork tenderloin
    pulled-pork                      Pulled pork (cooked)
    rabbit                           Rabbit
    veal-cutlet                      Veal cutlet
    venison                          Venison
    wagyu-beef                       Wagyu beef (ribeye)
    wild-boar                        Wild boar
    yak                              Yak

### Refined grains  (40)
    arborio-rice                     Arborio rice
    bagel-plain                      Bagel (plain)
    baguette                         Baguette
    basmati-rice                     Basmati rice
    brioche                          Brioche
    ciabatta                         Ciabatta
    couscous                         Couscous
    croissant                        Croissant
    egg-noodle                       Egg noodle
    english-muffin                   English muffin
    fettuccine                       Fettuccine
    white-tortilla                   Flour tortilla
    fusilli                          Fusilli
    glass-noodles                    Glass noodles
    gnocchi                          Gnocchi
    jasmine-rice                     Jasmine rice
    lasagna-noodle                   Lasagna noodle
    linguine                         Linguine
    macaroni                         Macaroni
    mochi                            Mochi
    naan                             Naan
    orzo                             Orzo
    penne                            Penne
    pita-white                       Pita (white)
    ramen-noodle                     Ramen noodle (dried)
    ravioli-cheese                   Ravioli (cheese, fresh)
    rice-noodles                     Rice noodles
    rice-paper                       Rice paper
    rigatoni                         Rigatoni
    rotini                           Rotini
    shirataki                        Shirataki noodles
    somen                            Somen noodles
    spaghetti                        Spaghetti (white)
    sticky-rice                      Sticky rice (glutinous)
    sushi-rice                       Sushi rice
    tortellini-cheese                Tortellini (cheese, fresh)
    udon-noodles                     Udon noodles
    vermicelli-rice                  Vermicelli (rice)
    white-pasta                      White pasta
    white-rice                       White rice

### Salt & seasonings  (10)
    celery-salt                      Celery salt
    garlic-salt                      Garlic salt
    msg                              MSG (monosodium glutamate)
    onion-salt                       Onion salt
    pickling-salt                    Pickling salt
    salt-kosher                      Salt (kosher)
    salt-sea                         Salt (sea)
    salt-table                       Salt (table)
    seasoned-salt                    Seasoned salt
    smoked-salt                      Smoked salt

### Sauces  (45)
    a1-sauce                         A1 steak sauce
    applesauce-unsweetened           Applesauce (unsweetened)
    bbq-sauce                        BBQ sauce
    gravy-brown                      Brown gravy
    mustard-chinese-hot              Chinese hot mustard
    cocktail-sauce                   Cocktail sauce
    coconut-aminos                   Coconut aminos
    cranberry-sauce-canned           Cranberry sauce (canned)
    demi-glace                       Demi-glace
    eel-sauce                        Eel sauce (unagi)
    mustard-english                  English mustard
    fish-sauce                       Fish sauce
    hp-sauce                         HP sauce
    steak-sauce-heinz57              Heinz 57 steak sauce
    hoisin                           Hoisin sauce
    honey-mustard                    Honey mustard
    horseradish-prepared             Horseradish (prepared)
    hot-sauce-louisiana              Hot sauce (Louisiana-style)
    hot-sauce-tabasco                Hot sauce (Tabasco-style)
    green-hot-sauce                  Hot sauce (green)
    kecap-manis                      Kecap manis
    ketchup                          Ketchup
    liquid-aminos                    Liquid aminos
    liquid-smoke                     Liquid smoke
    mushroom-soy-sauce               Mushroom soy sauce
    mustard-dijon                    Mustard (Dijon)
    mustard-yellow                   Mustard (yellow)
    oyster-sauce                     Oyster sauce
    peanut-sauce                     Peanut sauce
    pico-de-gallo                    Pico de gallo
    piri-piri-sauce                  Piri piri sauce
    plum-sauce                       Plum sauce
    salsa-roja                       Salsa (roja)
    salsa-verde-mexican              Salsa verde (Mexican)
    soy-sauce                        Soy sauce
    dark-soy-sauce                   Soy sauce (dark)
    light-soy-sauce                  Soy sauce (light)
    sriracha                         Sriracha
    sweet-chili-sauce                Sweet chili sauce
    tamari                           Tamari
    tamarind-paste                   Tamarind paste
    teriyaki-sauce                   Teriyaki sauce
    wasabi                           Wasabi paste
    mustard-whole-grain              Whole grain mustard
    worcestershire                   Worcestershire sauce

### Seeds  (12)
    chia-seed                        Chia seed
    egusi-seeds                      Egusi seeds
    flax-seed                        Flax seed
    hemp-seed                        Hemp seed
    lotus-seed                       Lotus seed
    pepitas-shelled                  Pepitas (shelled pumpkin seed)
    poppy-seed                       Poppy seed
    pumpkin-seed                     Pumpkin seed
    sacha-inchi-seeds                Sacha inchi seeds
    sesame-seed                      Sesame seed
    sunflower-seed                   Sunflower seed
    watermelon-seeds                 Watermelon seeds

### Shellfish  (22)
    abalone                          Abalone
    clams                            Clams
    conch                            Conch
    crab                             Crab
    crayfish                         Crayfish
    dungeness-crab                   Dungeness crab
    geoduck                          Geoduck
    king-crab                        King crab
    lobster                          Lobster
    mussels                          Mussels
    octopus                          Octopus
    oysters                          Oysters
    prawn                            Prawn (large)
    razor-clams                      Razor clams
    scallops                         Scallops
    sea-urchin                       Sea urchin (uni)
    shrimp                           Shrimp
    snails-escargot                  Snails (escargot)
    snow-crab                        Snow crab
    soft-shell-crab                  Soft-shell crab
    squid                            Squid
    whelk                            Whelk

### Soft drinks  (12)
    club-soda                        Club soda
    cola                             Cola
    diet-cola                        Diet cola
    eggnog                           Eggnog
    energy-drink                     Energy drink (Red Bull-style)
    ginger-ale                       Ginger ale
    iced-tea-sweetened               Iced tea (bottled, sweetened)
    lemon-lime-soda                  Lemon-lime soda
    root-beer                        Root beer
    sparkling-water                  Sparkling water
    sports-drink                     Sports drink (Gatorade-style)
    tonic-water                      Tonic water

### Soy products  (11)
    aburaage                         Aburaage (fried tofu)
    edamame                          Edamame
    natto                            Natto
    smoked-tofu                      Smoked tofu
    soya-chunks                      Soya chunks
    soybeans                         Soybeans
    tvp                              TVP (textured vegetable protein)
    tempeh                           Tempeh
    tofu-firm                        Tofu (firm)
    tofu-silken                      Tofu (silken)
    yuba                             Yuba (tofu skin)

### Spice blends  (28)
    adobo-seasoning                  Adobo seasoning
    bbq-rub                          BBQ rub
    baharat                          Baharat
    berbere                          Berbere
    blackening-seasoning             Blackening seasoning
    cajun-seasoning                  Cajun seasoning
    chaat-masala                     Chaat masala
    creole-seasoning                 Creole seasoning
    curry-powder                     Curry powder
    dukkah                           Dukkah
    fajita-seasoning                 Fajita seasoning
    fines-herbes                     Fines herbes
    five-spice-powder                Five-spice powder
    garam-masala                     Garam masala
    herbes-de-provence               Herbes de Provence
    italian-seasoning                Italian seasoning
    jerk-seasoning                   Jerk seasoning
    lemon-pepper                     Lemon-pepper seasoning
    mitmita                          Mitmita
    montreal-steak                   Montreal steak seasoning
    old-bay                          Old Bay
    poultry-seasoning                Poultry seasoning
    ranch-seasoning                  Ranch seasoning
    ras-el-hanout                    Ras el hanout
    shichimi-togarashi               Shichimi togarashi
    taco-seasoning                   Taco seasoning
    tajin                            Tajín (chili-lime seasoning)
    za-atar                          Za'atar

### Starchy vegetables  (33)
    acorn-squash                     Acorn squash
    beet                             Beet
    breadfruit                       Breadfruit
    burdock-root                     Burdock root (gobo)
    butternut-squash                 Butternut squash
    carrot                           Carrot
    cassava-yuca                     Cassava (yuca)
    corn                             Corn
    delicata-squash                  Delicata squash
    potato-fingerling                Fingerling potato
    fufu-flour                       Fufu flour
    garri                            Garri
    sunchoke                         Jerusalem artichoke (sunchoke)
    kabocha                          Kabocha squash
    maca                             Maca
    malanga                          Malanga
    potato-new                       New potato (baby)
    parsnip                          Parsnip
    plantain                         Plantain
    plantain-flour                   Plantain flour
    pumpkin                          Pumpkin
    potato-purple                    Purple potato
    potato-red                       Red potato
    potato-russet                    Russet potato
    rutabaga                         Rutabaga
    salsify                          Salsify
    spaghetti-squash                 Spaghetti squash
    sweet-potato                     Sweet potato
    taro                             Taro
    turnip                           Turnip
    yacon                            Yacon
    yam                              Yam
    potato-yukon                     Yukon gold potato

### Sugar & sweeteners  (32)
    agave-nectar                     Agave nectar
    allulose                         Allulose
    brown-sugar                      Brown sugar
    cane-syrup                       Cane syrup
    caramel-sauce                    Caramel sauce
    chocolate-syrup                  Chocolate syrup
    coconut-sugar                    Coconut sugar
    corn-syrup                       Corn syrup
    date-syrup                       Date syrup
    demerara                         Demerara sugar
    erythritol                       Erythritol
    golden-syrup                     Golden syrup
    grenadine                        Grenadine
    honey                            Honey
    hot-fudge-sauce                  Hot fudge sauce
    jaggery                          Jaggery
    maple-sugar                      Maple sugar (granulated)
    maple-syrup                      Maple syrup
    molasses                         Molasses
    monk-fruit-sweetener             Monk fruit sweetener
    muscovado                        Muscovado
    palm-sugar                       Palm sugar
    pancake-syrup                    Pancake syrup (table)
    piloncillo                       Piloncillo
    powdered-sugar                   Powdered sugar
    rose-syrup                       Rose syrup
    simple-syrup                     Simple syrup
    sorghum-syrup                    Sorghum syrup
    stevia                           Stevia
    strawberry-topping               Strawberry ice cream topping
    turbinado                        Turbinado sugar
    white-sugar                      White sugar

### Temperate fruits  (35)
    apple                            Apple
    apple-fuji                       Apple (Fuji)
    apple-gala                       Apple (Gala)
    apple-granny-smith               Apple (Granny Smith)
    apple-honeycrisp                 Apple (Honeycrisp)
    apple-pink-lady                  Apple (Pink Lady)
    apricot-fresh                    Apricot (fresh)
    pear-asian                       Asian pear
    avocado                          Avocado
    banana                           Banana
    cantaloupe                       Cantaloupe
    cherry-bing                      Cherry (Bing, sweet)
    cherry                           Cherry (sweet)
    grape-concord                    Concord grape
    crenshaw-melon                   Crenshaw melon
    plum-damson                      Damson plum
    fig-fresh                        Fig (fresh)
    galia-melon                      Galia melon
    grape                            Grape
    honeydew                         Honeydew
    loquat                           Loquat
    nectarine                        Nectarine
    peach                            Peach
    pear                             Pear
    pear-bartlett                    Pear (Bartlett)
    pear-bosc                        Pear (Bosc)
    persimmon                        Persimmon
    plum                             Plum
    pluot                            Pluot
    pomegranate                      Pomegranate
    quince                           Quince
    cherry-sour                      Sour cherry
    grape-thompson                   Thompson seedless grape
    watermelon                       Watermelon
    watermelon-yellow                Yellow watermelon

### Tropical fruits  (23)
    ackee                            Ackee
    cherimoya                        Cherimoya
    dragon-fruit                     Dragon fruit
    durian                           Durian
    guava                            Guava
    jackfruit                        Jackfruit
    jamun                            Jamun
    kiwi                             Kiwi
    longan                           Longan
    lychee                           Lychee
    mamey-sapote                     Mamey sapote
    mango                            Mango
    mangosteen                       Mangosteen
    papaya                           Papaya
    passion-fruit                    Passion fruit
    pineapple                        Pineapple
    rambutan                         Rambutan
    rose-apple                       Rose apple
    salak                            Salak (snake fruit)
    sapodilla                        Sapodilla (chiku)
    soursop                          Soursop
    starfruit                        Starfruit
    tamarind                         Tamarind (pulp, raw)

### White fish  (15)
    branzino                         Branzino
    cod                              Cod
    flounder                         Flounder
    grouper                          Grouper
    haddock                          Haddock
    halibut                          Halibut
    mahi-mahi                        Mahi mahi
    monkfish                         Monkfish
    pollock                          Pollock
    pomfret                          Pomfret
    snapper                          Red snapper
    sea-bass                         Sea bass
    sole                             Sole
    tilapia                          Tilapia
    tilefish                         Tilefish

### Whole grains  (32)
    amaranth                         Amaranth
    barley                           Barley
    black-rice                       Black rice
    brown-rice                       Brown rice
    buckwheat                        Buckwheat
    bulgur                           Bulgur
    corn-tortilla                    Corn tortilla
    einkorn                          Einkorn
    farro                            Farro
    freekeh                          Freekeh
    granola                          Granola
    grits                            Grits (dry)
    hominy                           Hominy (canned)
    kamut                            Kamut (khorasan wheat)
    millet                           Millet
    oatmeal-instant                  Oatmeal (instant, plain)
    polenta                          Polenta (dry)
    popcorn                          Popcorn
    quinoa                           Quinoa
    oats-rolled                      Rolled oats
    rye-bread                        Rye bread
    soba-noodles                     Soba noodles
    sorghum                          Sorghum
    sourdough-bread                  Sourdough bread
    spelt                            Spelt
    steel-cut-oats                   Steel-cut oats
    teff                             Teff
    wheat-berries                    Wheat berries
    wheat-germ                       Wheat germ
    whole-wheat-pasta                Whole wheat pasta
    whole-wheat-tortilla             Whole wheat tortilla
    wild-rice                        Wild rice

### Whole spices  (24)
    ajwain                           Ajwain
    allspice                         Allspice
    anise-seed                       Anise seed
    annatto-seed                     Annatto seed
    caraway-seed                     Caraway seed
    cardamom-black                   Cardamom (black)
    cardamom-green                   Cardamom (green)
    cassia                           Cassia
    celery-seed                      Celery seed
    cinnamon-stick                   Cinnamon stick
    clove                            Clove
    coriander-seed                   Coriander seed
    cumin                            Cumin
    fennel-seed                      Fennel seed
    fenugreek-seed                   Fenugreek seed
    grains-of-paradise               Grains of paradise
    juniper-berries                  Juniper berries
    limu-omani                       Limu omani (dried lime)
    mace                             Mace
    mustard-seed-brown               Mustard seed (brown)
    mustard-seed-yellow              Mustard seed (yellow)
    nigella-seed                     Nigella seed
    saffron                          Saffron
    star-anise                       Star anise

### Yogurt  (5)
    greek-yogurt-nonfat              Greek yogurt (non-fat)
    greek-yogurt-whole               Greek yogurt (whole)
    yogurt-fruit                     Yogurt (fruit, sweetened)
    yogurt-low-fat                   Yogurt (low-fat, plain)
    yogurt-whole                     Yogurt (whole)
